10001;1001;QAB2311;2026-01-21T08:00:00.000000000;2026-01-21T10:30:00.000000000;5.0;
10002;1002;WXY4523;2026-01-21T09:15:00.000000000;2026-01-21T11:00:00.000000000;4.5;
10003;1003;ZTR9931;2026-01-21T10:05:00.000000000;2026-01-21T12:50:00.000000000;6.0;
10004;1004;MNB1122;2026-01-21T12:30:00.000000000;2026-01-21T13:45:00.000000000;3.0;
10005;1005;GHJ3344;2026-01-21T14:00:00.000000000;2026-01-21T15:15:00.000000000;2.5;
10006;1006;KLO5566;2026-01-21T15:20:00.000000000;2026-01-21T16:50:00.000000000;4.0;
10007;1007;PQR7788;2026-01-21T16:40:00.000000000;2026-01-21T18:10:00.000000000;4.2;
10008;1008;STU9900;2026-01-21T17:30:00.000000000;2026-01-21T19:00:00.000000000;3.8;
10009;1009;VWX2233;2026-01-22T08:10:00.000000000;2026-01-22T09:50:00.000000000;3.5;
10010;1010;YZA4455;2026-01-22T09:45:00.000000000;2026-01-22T11:30:00.000000000;4.7;
10011;1011;BCD6677;2026-01-22T11:00:00.000000000;2026-01-22T12:15:00.000000000;2.8;
10012;1012;EFG8899;2026-01-22T12:30:00.000000000;2026-01-22T14:00:00.000000000;3.6;
10013;1013;HIJ1010;2026-01-22T14:05:00.000000000;2026-01-22T15:40:00.000000000;4.1;
10014;1014;KLM1212;2026-01-22T15:50:00.000000000;2026-01-22T17:20:00.000000000;4.3;
10015;1015;NOP1414;2026-01-22T16:10:00.000000000;2026-01-22T18:00:00.000000000;5.0;
10016;1016;QRS1616;2026-01-23T07:50:00.000000000;2026-01-23T09:20:00.000000000;3.4;
10017;1017;TUV1818;2026-01-23T08:30:00.000000000;2026-01-23T10:10:00.000000000;4.0;
10018;1018;WXY2020;2026-01-23T09:15:00.000000000;2026-01-23T11:45:00.000000000;5.2;
10019;1019;ZAB2222;2026-01-23T11:00:00.000000000;2026-01-23T12:30:00.000000000;3.0;
10020;1020;CDE2424;2026-01-23T12:45:00.000000000;2026-01-23T14:15:00.000000000;3.5;
10021;1021;FGH2626;2026-01-23T13:30:00.000000000;2026-01-23T15:00:00.000000000;3.8;
10022;1022;IJK2828;2026-01-23T15:10:00.000000000;2026-01-23T16:50:00.000000000;4.2;
10023;1023;LMN3030;2026-01-23T16:00:00.000000000;2026-01-23T17:45:00.000000000;4.5;
10024;1024;OPQ3232;2026-01-24T08:05:00.000000000;2026-01-24T09:50:00.000000000;3.2;
10025;1025;RST3434;2026-01-24T09:30:00.000000000;2026-01-24T11:10:00.000000000;4.1;
10026;1026;UVW3636;2026-01-24T10:20:00.000000000;2026-01-24T12:05:00.000000000;4.3;
10027;1027;XYZ3838;2026-01-24T11:40:00.000000000;2026-01-24T13:25:00.000000000;4.7;
10028;1028;ABC4040;2026-01-24T12:50:00.000000000;2026-01-24T14:20:00.000000000;3.9;
10029;1029;DEF4242;2026-01-24T14:10:00.000000000;2026-01-24T15:55:00.000000000;4.5;
10030;1030;GHI4444;2026-01-24T15:30:00.000000000;2026-01-24T17:10:00.000000000;4.8;
